Data,Categoria,CONSUMO,CONSUMIDORES,Tipo_consumidor
2004-05-01,Industrial,9539948.329,504642.0,CATIVO
2004-05-01,Outros,3816548.329,3126271.0,CATIVO
2004-05-01,Residencial,6477341.432,45965740.0,CATIVO
2004-05-01,SHV,5870398.305000001,15541481,CATIVO
2004-05-01,CHV,3157482.9680000003,277,LIVRE
2004-05-01,Comercial,31199.903,31,LIVRE
2004-05-01,Industrial,3292763.612,244,LIVRE
2004-05-01,Outros,15834.866,2,LIVRE
2004-05-01,Residencial,0.0,0,LIVRE
2004-05-01,SHV,182315.413,19,LIVRE
2004-06-01,CHV,17764778.194,53973855,CATIVO
2004-06-01,Comercial,3807916.881,4253483.0,CATIVO
2004-06-01,Industrial,9159914.93,505236.0,CATIVO
2004-06-01,Outros,3829270.972,3136334.0,CATIVO
2004-06-01,Residencial,6291091.533,46078802.0,CATIVO
2004-06-01,SHV,5323416.1219999995,15580535,CATIVO
2004-06-01,CHV,3267499.072,308,LIVRE
2004-06-01,Comercial,32083.55,35,LIVRE
2004-06-01,Industrial,3947720.332,271,LIVRE
2004-06-01,Outros,14962.746,2,LIVRE
2004-06-01,Residencial,0.0,0,LIVRE
2004-06-01,SHV,727267.5559999999,21,LIVRE
2004-07-01,CHV,17867068.94,54097775,CATIVO
2004-07-01,Comercial,3856244.627,4260038.0,CATIVO
2004-07-01,Industrial,8654157.049,504296.0,CATIVO
2004-07-01,Outros,3844150.165,3147575.0,CATIVO
2004-07-01,Residencial,6292471.042,46185866.0,CATIVO
2004-07-01,SHV,4779953.943,15602028,CATIVO
2004-07-01,CHV,3437759.37,314,LIVRE
2004-07-01,Comercial,30989.54,34,LIVRE
2004-07-01,Industrial,4652650.262,278,LIVRE
2004-07-01,Outros,15342.263,2,LIVRE
2004-07-01,Residencial,0.0,0,LIVRE
2004-07-01,SHV,1261222.695,24,LIVRE
2004-08-01,CHV,17958670.429,54323121,CATIVO
2004-08-01,Comercial,3835079.799,4274715.0,CATIVO
2004-08-01,Industrial,8839850.942,504477.0,CATIVO
2004-08-01,Outros,3868075.596,3164139.0,CATIVO
2004-08-01,Residencial,6304477.069,46379790.0,CATIVO
2004-08-01,SHV,4888812.977,15750600,CATIVO
2004-08-01,CHV,3529777.009,328,LIVRE
2004-08-01,Comercial,32187.742,33,LIVRE
2004-08-01,Industrial,4752490.105,292,LIVRE
2004-08-01,Outros,24696.685,3,LIVRE
2004-08-01,Residencial,0.0,0,LIVRE
2004-08-01,SHV,1279597.523,24,LIVRE
2004-09-01,CHV,18460331.057,54403926,CATIVO
2004-09-01,Comercial,4085830.474,4276973.0,CATIVO
2004-09-01,Industrial,8742969.351,506131.0,CATIVO
2004-09-01,Outros,4043050.825,3176792.0,CATIVO
2004-09-01,Residencial,6604390.033,46444030.0,CATIVO
2004-09-01,SHV,5015909.626,15750999,CATIVO
2004-09-01,CHV,3564979.5509999995,358,LIVRE
2004-09-01,Comercial,35490.856,38,LIVRE
2004-09-01,Industrial,4717845.673,300,LIVRE
2004-09-01,Outros,52920.271,20,LIVRE
2004-09-01,Residencial,0.0,0,LIVRE
2004-09-01,SHV,1241277.249,24,LIVRE
2004-10-01,CHV,18420574.665000003,54797451,CATIVO
2004-10-01,Comercial,4151351.831,4288772.0,CATIVO
2004-10-01,Industrial,8600233.784,507849.0,CATIVO
2004-10-01,Outros,4130510.095,3193190.0,CATIVO
2004-10-01,Residencial,6606513.86,46807640.0,CATIVO
2004-10-01,SHV,5068034.905,15832327,CATIVO
2004-10-01,CHV,3707245.098999999,368,LIVRE
2004-10-01,Comercial,36637.875,38,LIVRE
2004-10-01,Industrial,4934498.606,322,LIVRE
2004-10-01,Outros,50121.215,8,LIVRE
2004-10-01,Residencial,0.0,0,LIVRE
2004-10-01,SHV,1314012.597,27,LIVRE
2004-11-01,CHV,18240833.382,54701420,CATIVO
2004-11-01,Comercial,4188595.5,4238483.0,CATIVO
2004-11-01,Industrial,8580400.557,510489.0,CATIVO
2004-11-01,Outros,4000797.167,3202468.0,CATIVO
2004-11-01,Residencial,6631190.163,46749980.0,CATIVO
2004-11-01,SHV,5160150.005,15910812,CATIVO
2004-11-01,CHV,3694394.1170000006,364,LIVRE
2004-11-01,Comercial,36580.032,38,LIVRE
2004-11-01,Industrial,4875369.189,318,LIVRE
2004-11-01,Outros,50398.0,8,LIVRE
2004-11-01,Residencial,0.0,0,LIVRE
2004-11-01,SHV,1267953.1039999998,29,LIVRE
2004-12-01,CHV,18300305.567999996,54842923,CATIVO
2004-12-01,Comercial,4362831.602,4279093.0,CATIVO
2004-12-01,Industrial,8435115.199,504463.0,CATIVO
2004-12-01,Outros,4076558.812,3210564.0,CATIVO
2004-12-01,Residencial,6643371.195,46848803.0,CATIVO
2004-12-01,SHV,5217571.24,15949751,CATIVO
2004-12-01,CHV,3750669.896,368,LIVRE
2004-12-01,Comercial,37304.851,39,LIVRE
2004-12-01,Industrial,4956768.347,320,LIVRE
2004-12-01,Outros,50155.658,9,LIVRE
2004-12-01,Residencial,0.0,0,LIVRE
2004-12-01,SHV,1293558.9600000002,30,LIVRE
2005-01-01,CHV,17453740.787,55370816,CATIVO
2005-01-01,Comercial,4445266.061,4316767.0,CATIVO
2005-01-01,Industrial,6978771.254,506179.0,CATIVO
2005-01-01,Outros,4055305.233,3237028.0,CATIVO
2005-01-01,Residencial,7118537.783,47310842.0,CATIVO
2005-01-01,SHV,5144139.544,16051910,CATIVO
2005-01-01,CHV,4458981.849,519,LIVRE
2005-01-01,Comercial,47277.828,39,LIVRE
2005-01-01,Industrial,5671981.754,470,LIVRE
2005-01-01,Outros,58297.115,10,LIVRE
2005-01-01,Residencial,0.0,0,LIVRE
2005-01-01,SHV,1318574.8479999998,51,LIVRE
2005-02-01,CHV,16890043.625,55436106,CATIVO
2005-02-01,Comercial,4318517.887,4315200.0,CATIVO
2005-02-01,Industrial,6807912.429,504927.0,CATIVO
