,CONSUMO_CATIVO_RO,CONSUMO_CATIVO_AC,CONSUMO_CATIVO_AM,CONSUMO_CATIVO_RR,CONSUMO_CATIVO_PA,CONSUMO_CATIVO_AP,CONSUMO_CATIVO_TO,CONSUMO_CATIVO_MA,CONSUMO_CATIVO_PI,CONSUMO_CATIVO_CE,CONSUMO_CATIVO_RN,CONSUMO_CATIVO_PB,CONSUMO_CATIVO_PE,CONSUMO_CATIVO_AL,CONSUMO_CATIVO_SE,CONSUMO_CATIVO_BA,CONSUMO_CATIVO_MG,CONSUMO_CATIVO_ES,CONSUMO_CATIVO_RJ,CONSUMO_CATIVO_SP,CONSUMO_CATIVO_PR,CONSUMO_CATIVO_SC,CONSUMO_CATIVO_RS,CONSUMO_CATIVO_MS,CONSUMO_CATIVO_MT,CONSUMO_CATIVO_GO,CONSUMO_CATIVO_DF,CONSUMO_CATIVO_Residencial,CONSUMO_CATIVO_Industrial,CONSUMO_CATIVO_Comercial,CONSUMO_CATIVO_Outros,CONSUMIDORES_CATIVO_RO,CONSUMIDORES_CATIVO_AC,CONSUMIDORES_CATIVO_AM,CONSUMIDORES_CATIVO_RR,CONSUMIDORES_CATIVO_PA,CONSUMIDORES_CATIVO_AP,CONSUMIDORES_CATIVO_TO,CONSUMIDORES_CATIVO_MA,CONSUMIDORES_CATIVO_PI,CONSUMIDORES_CATIVO_CE,CONSUMIDORES_CATIVO_RN,CONSUMIDORES_CATIVO_PB,CONSUMIDORES_CATIVO_PE,CONSUMIDORES_CATIVO_AL,CONSUMIDORES_CATIVO_SE,CONSUMIDORES_CATIVO_BA,CONSUMIDORES_CATIVO_MG,CONSUMIDORES_CATIVO_ES,CONSUMIDORES_CATIVO_RJ,CONSUMIDORES_CATIVO_SP,CONSUMIDORES_CATIVO_PR,CONSUMIDORES_CATIVO_SC,CONSUMIDORES_CATIVO_RS,CONSUMIDORES_CATIVO_MS,CONSUMIDORES_CATIVO_MT,CONSUMIDORES_CATIVO_GO,CONSUMIDORES_CATIVO_DF,CONSUMIDORES_CATIVO_Residencial,CONSUMIDORES_CATIVO_Industrial,CONSUMIDORES_CATIVO_Comercial,CONSUMIDORES_CATIVO_Outros,CONSUMO_LIVRE_RO,CONSUMO_LIVRE_AC,CONSUMO_LIVRE_AM,CONSUMO_LIVRE_RR,CONSUMO_LIVRE_PA,CONSUMO_LIVRE_AP,CONSUMO_LIVRE_TO,CONSUMO_LIVRE_MA,CONSUMO_LIVRE_PI,CONSUMO_LIVRE_CE,CONSUMO_LIVRE_RN,CONSUMO_LIVRE_PB,CONSUMO_LIVRE_PE,CONSUMO_LIVRE_AL,CONSUMO_LIVRE_SE,CONSUMO_LIVRE_BA,CONSUMO_LIVRE_MG,CONSUMO_LIVRE_ES,CONSUMO_LIVRE_RJ,CONSUMO_LIVRE_SP,CONSUMO_LIVRE_PR,CONSUMO_LIVRE_SC,CONSUMO_LIVRE_RS,CONSUMO_LIVRE_MS,CONSUMO_LIVRE_MT,CONSUMO_LIVRE_GO,CONSUMO_LIVRE_DF,CONSUMO_LIVRE_Residencial,CONSUMO_LIVRE_Industrial,CONSUMO_LIVRE_Comercial,CONSUMO_LIVRE_Outros,CONSUMIDORES_LIVRE_RO,CONSUMIDORES_LIVRE_AC,CONSUMIDORES_LIVRE_AM,CONSUMIDORES_LIVRE_RR,CONSUMIDORES_LIVRE_PA,CONSUMIDORES_LIVRE_AP,CONSUMIDORES_LIVRE_TO,CONSUMIDORES_LIVRE_MA,CONSUMIDORES_LIVRE_PI,CONSUMIDORES_LIVRE_CE,CONSUMIDORES_LIVRE_RN,CONSUMIDORES_LIVRE_PB,CONSUMIDORES_LIVRE_PE,CONSUMIDORES_LIVRE_AL,CONSUMIDORES_LIVRE_SE,CONSUMIDORES_LIVRE_BA,CONSUMIDORES_LIVRE_MG,CONSUMIDORES_LIVRE_ES,CONSUMIDORES_LIVRE_RJ,CONSUMIDORES_LIVRE_SP,CONSUMIDORES_LIVRE_PR,CONSUMIDORES_LIVRE_SC,CONSUMIDORES_LIVRE_RS,CONSUMIDORES_LIVRE_MS,CONSUMIDORES_LIVRE_MT,CONSUMIDORES_LIVRE_GO,CONSUMIDORES_LIVRE_DF,CONSUMIDORES_LIVRE_Residencial,CONSUMIDORES_LIVRE_Industrial,CONSUMIDORES_LIVRE_Comercial,CONSUMIDORES_LIVRE_Outros
2004-01-01,112812,34840.033,274773,31695.624,998415.281,43084,65876.607,737033.285,131052,518714,258748.328,236448.974,630980.789,285489,170127.414,1356735.799,2732631.668,478513.732,2295758.406,6987562.148,1424057.211,1111677.265,1628094.818,259818.634,287657.706,618445,296041,6780680.373,9066706.879,4220228.79,3939467.68,345852,126275,543155,78916,1188172,114101,282945,1124352,671526,2148029,806557,965249,2323086,637016,521642,3502256,6153887,1036188,5371203,13021304,3196671,1923760,3391354,654054,715311,1825557,662857,45430039.0,506577.0,4238307.0,3156352.0,0,0,0,0,12937.771,0,0,0,0,0,9865.79,0,12121.624,0,22079.595,87715.67,1000179.556,129141.325,316994.484,988746.759,172217.031,21249,152817.66,13098.758,4515.718,12179,15418,0.0,2942144.434,24608.124,4525.183,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,10,26,11,8,83,14,7,21,4,1,1,3,0,177,17,1
2004-02-01,105806,33050.335,278429.715,30802.288,948437.568,28944,63306.912,694591.783,110758,469181.229,223838.555,226289.392,600173.266,266555,164452.816,1259733.306,2601534.399,465174.586,2314951.523,6831454.066,1474197.118,1210231.388,1824338.494,256437.886,291449.326,591848,267122,6429337.18,9305783.558,4123008.329,3774959.884,346938,127239,544942,79058,1280722,83296.595,284088,1131108,673148,2155413,808424,969387,2321671,642403,522708,3514284,6180337,1040468,5385980,13071828,3201916,1929149,3400560,655710,713001,1830645,665769,45630099.0,505805.135,4245586.0,3178702.46,0,0,0,0,18671.752,0,0,0,0,0,10112.32,0,12157.491,0,17573.307,84450.53,980835.088,118085.51,315082.324,1087595.603,161378.851,20074,8,14175.533,5493.035,10681,18806,0.0,2835632.715,24266.51,15281.119,0,1,0,0,1,0,0,0,0,0,1,0,3,0,2,10,32,11,11,107,15,7,5,4,1,1,3,0,192,20,3
2004-03-01,106668,33858.038,270420,30275.526,997574.525,42451,67551.247,743086.198,112344,508966.156,247101.952,242215.126,641132.06,259855,176304.426,1300584.867,2635573.252,472787.944,2251157.358,7058967.546,1471008.614,1269220.883,1788563.075,258721.921,329305.989,612926,281258,6600338.007,9577173.802,4178482.674,3853884.22,347685,128142,546869,79224,1200970,146396,285701,1133183,674415,2169733,811113,971083,2333826,641181,513982,3540970,6205432,1043595,5404444,13141228,3208602,1934320,3409873.079,657373,715873,1834173,671692,45874005.0,506382.493,4252172.503,3118518.083,0,0,0,0,25378.312,0,0,0,0,0,10864.15,0,17641.93,0,19306.654,93340.564,969843.08,126736.992,330903.383,1057833.925,185635.203,31525,152817.66,19998.616,3581,9857,19195,0.0,3031239.245,25380.142,17839.082,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,10,38,11,12,118,16,8,21,5,1,1,3,0,216,21,14
2004-04-01,107580,34961.023,279044.699,33035.03,1009255.402,40234,71774.323,728379.037,123168,523200.083,254830.177,235364.13,659200.437,289626,181488.975,1322590.367,2693060.392,461346.958,2273899.281,7419594.429,1512898.052,1187222.069,1813423.255,272649.353,346013.726,633504,304543,6809006.361,9695977.56,4420409.297,3886492.98,351032,128399,547966,78824,1299053,115537,286867,1137788,676091,2188198,812528,974334,2340860,642554,525904,3544272,6216679,1042583,5425649,13137295,3217462,1938746,3413655,658939,718819,1839696,674332,46044908.0,506583.0,4261081.0,3121490.0,0,0,0,0,22977.583,0,0,0,0,0,9674.55,0,15445.909,0,22576.088,96455.716,975567.668,121960.155,352441.094,1203452.044,179012.105,27939,152816.64,18003.763,7025.81,10579,18368,0.0,3191312.553,26665.397,16317.175,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,10,33,11,15,122,18,8,21,6,1,1,3,0,230,24,2
2004-05-01,112115.8,33416.604,283866,28944.364,1032714.992,38522,74458.77,751060.141,121261,501515,248204.552,234298.802,621476.469,284219,161165.063,1343159.748,2727245.172,449853.433,2167121.027,6828920.966,1470973.505,1193066.896,1686516.925,247916.978,324059.165,642521,299765,6477341.432,9539948.329,4074520.282,3816548.329,353130,129201,549696,79745,1210784,115783,288180,1139029,677618,2191395,814363,977694,2284420,643888,527582,3558973,6219002,1041233,5436057,13130568,3209229,1943679,3415905,658549,721576,1844299,679731,45965740.0,504642.0,4244656.0,3126271.0,0,0,0,0,25090.515,0,0,0,0,0,10557.012,0,27961.966,0,25666.154,93039.766,965549.733,136547.33,363824.063,1267566.978,185635.203,30383,156450.66,19428.286,4874.715,11479,15744,0.0,3292763.612,31199.903,15834.866,0,0,0,0,1,0,0,0,0,0,1,0,5,0,2,10,32,11,15,142,16,8,22,7,1,1,3,0,244,31,2
2004-06-01,107816.5,32048.595,285251,29531.804,503438.38,41854,77738.63,730461.971,122482,511009,253237.139,236512.263,614521.614,284384,158159.211,1334970.015,2782422.083,448891.635,2010683.019,6837302.647,1440414.894,1131653.942,1610866.664,229667.207,310092.103,674871,287913,6291091.533,9159914.93,3807916.881,3829270.972,354946,129378,550431,80185,1220390,115931,290464,1142241,680249,2195173,816940,981465,2277089,643534,529421,3572698,6221748,1042974,5450403,13155298,3228541,1948575,3419946,664454,725719,1849574,686088,46078802.0,505236.0,4253483.0,3136334.0,0,0,0,0,563703,0,0,0,0,0,10748.103,0,27965.71,0,35081.558,89769.185,986598.814,122701.756,355637.295,1354279.632,181237.054,28459,163932.007,22289.53,18293.984,12220,21850,0.0,3947720.332,32083.55,14962.746,0,0,0,0,2,0,0,0,0,0,1,0,5,0,3,10,33,11,15,153,20,8,30,7,4,1,5,0,271,35,2
2004-07-01,108589,33659.693,295884,28212.474,500297.597,40924,74534.74,241475.928,120148.2,495416,237892.608,235539.246,588732.398,282241,163197.451,1333209.608,2716904.808,448522.498,2069510.66,6899440.593,1431594.559,1155438.697,1612216.563,227011.01,334082.552,675815,296532,6292471.042,8654157.049,3856244.627,3844150.165,355919,129816,552109,80296,1228622,116179,292121,1146352,682898,2198066,819236,968996,2269197,646373,530410,3585438,6238985,1043341,5464063,13207667,3226711,1953663,3424680,665374,728878,1854765,687620,46185866.0,504296.0,4260038.0,3147575.0,0,0,0,0,582901,0,0,500274,0,0,11350.285,0,30517.306,0,34582.926,101597.178,1022964.181,137329.031,396608.338,1403005.825,189732.832,40339,169471.149,24220.939,19528.075,12342,22218,0.0,4652650.262,30989.54,15342.263,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,33,11,16,155,19,9,31,7,4,2,3,0,278,34,2
2004-08-01,110858,34837.451,296649.546,28722.604,556602.474,41429,78675.792,253642.143,123974,531184.836,250577.156,233748.45,599958.922,281415,157829.723,1308707.88,2765183.258,449021.778,2037627.109,6903139.533,1467660.42,1160341.185,1610385.06,245454.992,325028.094,703050,291779,6304477.069,8839850.942,3835079.799,3868075.596,356274,130478,553730,80391,1329953,116431,294050,1151604,684822,2205529,821817,981661,2264481,647955,531700,3599724,6248639,1045619,5478172,13217397,3241852,1958893,3430688,667439,733678,1859953,690191,46379790.0,504477.0,4274715.0,3164139.0,0,0,0,0,582121,0,0,503725,0,0,11725.902,0,34590.414,0,35556.109,111879.098,1037965.951,140368.321,370330.64,1485938.477,190821.648,52393,171581.058,24997.783,19103.131,13102,23175,0.0,4752490.105,32187.742,24696.685,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,33,11,16,164,20,13,31,7,4,2,3,0,292,33,3
2004-09-01,116058,36879.798,308616.486,29796.9,508455,44138,82175.325,257092.442,135732,564012.832,253658.357,245145.596,649710.85,279917,161202.519,1343318.521,2858061.074,465981.266,2139732.942,7119411.748,1489696.92,1139107.761,1595462.859,249485.921,347928.566,738378,317084,6604390.033,8742969.351,4085830.474,4043050.825,354558,130865,555610,80463,1243382,117135,295960,1153849,686946,2214912,824364,989657,2306708,649541,523374,3623675,6262873,1045187,5490022,13235158,3252605,1964688,3435212,670687,739893,1864627,691975,46444030.0,506131.0,4276973.0,3176792.0,0,0,0,0,561037,0,0,488463,0,0,11610.956,0,31965.133,0,34297.86,113903.3,1037290.668,132069.259,355079.378,1536105.659,206540.407,51193,172410.64,21141.831,16147.709,12159,24842,0.0,4717845.673,35490.856,52920.271,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,39,11,16,183,23,13,33,7,4,2,3,0,300,38,20
2004-10-01,120268,36948.043,319945.538,31634.274,511844.37,46695,77895.436,254396.351,134046,553697.617,264005.233,235224.514,650709.789,290729,164118.583,1375877.157,2797340.818,484343.781,2186087.14,7163919.701,1443708.188,1135014.002,1556103.121,255724.388,346372.939,733882.587,318078,6606513.86,8600233.784,4151351.831,4130510.095,357165,131216,557355,80902,1247399,117819,296466,1155480,688897,2221255,828056,992064,2345529,651252,525419,3636053,6273071,1045616,5500857,13491612,3260091,1970288,3442230,676517,741385,1869202,694255,46807640.0,507849.0,4288772.0,3193190.0,0,0,0,0,578936,0,0,532565,1393,0,12659.23,17869,36500.716,0,36024.215,98065.436,1087732.4,125347.818,381412.38,1567439.781,226014.579,57537.249,172320.334,23107.33,16091.587,12700,37541.641,0.0,4934498.606,36637.875,50121.215,0,0,0,0,1,0,0,2,1,0,1,2,7,0,3,10,38,11,17,182,25,15,33,7,6,2,5,0,322,38,8
2004-11-01,119959,38066.121,310684.201,33054.7,534666.801,46641,74206.604,253468.447,138289,575825.437,281877.479,238462.469,668430.011,289596,174599.021,1382323.714,2794368.247,480239.032,2213068.59,7023939.701,1459947.744,1157708.901,1602281.145,250017.343,326945.307,632712.372,299605,6631190.163,8580400.557,4188595.5,4000797.167,359968,132223,558702,81139,1257649,117891,296831,1158911,692299,2224083,833100,994516,2371523,654984,527287,3649706,6278890,1046239,5519528,13288851,3269288,1975430,3414806,676266,747144,1878635,695531,46749980.0,510489.0,4238483.0,3202468.0,0,0,0,0,562360,0,0,492280,0,0,11948.876,15491,36926.899,0,36096.072,112850.257,1225109.8,124740.145,359481.651,1580053.861,225007.814,65045.831,19427.74,22850.872,19924.3,16825,35927.103,0.0,4875369.189,36580.032,50398.0,0,0,0,0,1,0,0,2,0,0,1,2,8,0,3,12,42,11,17,185,25,17,17,7,7,2,5,0,318,38,8
2004-12-01,116378,36879.968,321545.383,34181.799,536063.475,46518,74505.141,248347.683,132442,575617.513,289011.504,241035.437,693653.219,296464,178045.448,1396882.67,2669146.152,477636.835,2303692.12,6949220.44,1448839.653,1158418.979,1756389.7,264442.966,320352.994,641850.729,310315,6643371.195,8435115.199,4362831.602,4076558.812,357178,132175,558134,81682,1264814,118849,298780,1161285,695564,2230269,837728,999125,2362300,657909,540975,3652984,6280116,1049430,5534670,13301520,3276058,1982328,3456575,682057,750061,1878635,701722,46848803.0,504463.0,4279093.0,3210564.0,0,0,0,0,574549,0,0,509590,0,0,11446.25,17581,36657.408,0,36808.317,106926.985,1245665.541,136744.277,374118.809,1594423.427,234675.515,63003.879,3886.628,22287.534,23735.262,16825,35304.024,0.0,4956768.347,37304.851,50155.658,0,0,0,0,1,0,0,2,0,0,1,2,8,0,3,13,39,11,17,192,29,17,12,7,7,2,5,0,320,39,9
2005-01-01,116926,36639.007,299782.709,32339.61,509315.081,46518,71638.027,250913.163,135184,562165.365,264965.683,237481.673,703203.295,307959.341,175119.59,1393989,2171551.484,469267.803,2357523.473,6607636.843,1425518.127,1136056.986,1807860.224,249365.592,292806.346,624717.909,311436,7118537.783,6978771.254,4445266.061,4055305.233,363901,133302,561305,82013,1272783,118849,299919,1169028,699599,2238382,843084,1001918,2393474,663633,532326,3678394,6304627,1053309,5803681,13355340,3285816,1988994,3498341,683636,756000,1884448,704714,47310842.0,506179.0,4316767.0,3237028.0,0,0,0,0,574379.987,0,0,506037.206,1485,1138.602,21760.068,23954,25441.189,2007,35698.312,126673.484,1653036.679,161929.007,400334.542,1697208.351,210612.622,78221.765,151146.338,34925.58,19149.514,27268,25149.451,0.0,5671981.754,47277.828,58297.115,0,0,0,0,2,0,8,2,2,0,2,3,7,9,3,13,133,8,23,198,27,19,33,13,7,4,3,0,470,39,10
2005-02-01,109653,35531.843,289645.328,31152.728,462731.272,46420,70809.882,238406.818,123720,543354.031,260072.512,229390.489,655252.627,297910.174,167528.128,1329029,1677520.551,446311.375,2209727.013,6544621.592,1471220.079,1221241.671,1855618.061,236124.288,306881.39,617821.605,302956,6758333.1,6807912.429,4318517.887,3895888.041,360881,133791,562475,82471,1277057,118849,300937,1175101,700985,2245580,846855,1003950,2367362,666365,533312,3691704,6316204,1057426,5813461,13352012,3293058,1994259,3507335,685599,759003,1889113,700961,47370980.0,504927.0,4315200.0,3244999.0,0,0,0,0,573180.327,0,0,459700.393,2099,983.076,21151.843,17027.849,32638.968,1581,32554.185,113638.008,2071987.993,152685.785,378445.089,1724892.174,202202.593,73586.147,142717.317,31384.653,25147,28668,20694.806,0.0,5938627.428,47088.201,121250.577,0,0,0,0,2,0,8,2,2,1,2,3,8,9,3,13,136,8,23,222,27,19,33,13,7,7,3,0,492,40,19
2005-03-01,116662,37499.686,289247.037,30294.337,504961.06,46502,72748.477,247544.703,119693,557993.23,262151.713,236371.825,713969.299,303043.002,176285.659,1301527,1690249.61,467911.565,2272289.176,6714308.189,1498256.849,1237227.933,1862315.491,263269.591,343255.342,620050.223,302144,6865215.603,6954888.987,4506507.532,3961159.875,365849,134401,563223,82844,1276026,118849,303316,1176110,702308,2251330,847180,997579,2413762,667905,534534,3706197,6326049,1059108,5839117,13396469,3299582,1998851,3517568,687504,762407,1894042,703712,47537195.0,505373.0,4321625.0,3261629.0,0,0,0,0,571682.888,0,0,507685.046,505,1227.988,22673.981,24432.015,38528.767,1964,38801.522,137803.896,1996052.268,170363.81,386374.803,1778436.375,225443.157,84560.785,162068.873,37629.696,27654.965,30741,25566.559,0.0,6110372.372,46012.375,113812.647,0,0,0,0,2,0,0,2,2,1,2,3,8,1,3,13,139,8,25,231,27,19,34,13,7,7,3,0,489,41,20
2005-04-01,115809,34285.902,296436.198,32622.687,500419.403,46488,74899.963,232191.974,121582,550032.153,267095.929,238756.673,684821.88,308218.624,176181.774,1334295,1808885.659,477333.363,2450435.21,6909838.859,1572278.448,1246724.329,1721072.35,268295.458,350629.129,663930.05,314117,7131738.269,7010917.183,4638131.991,4016889.572,367741,134989,562992,83177,1281328,118849,304103,1178052,704124,2257183,848803,1000155,2417405,669539,535763,3720081,6336286,1061708,5848793,13412852,3308031,2003485,3521402,689376,765346,1898798,705393,47628550.0,505525.0,4326185.0,3275494.0,0,0,0,0,550925.266,0,0,490878.85,687,601.198,22419.575,23297.552,39836.239,1100,38855.583,144563.49,2143255.456,157615.811,404153.277,1944414.923,219622.467,78867.625,158442.915,38790.569,26356,42803,21863,0.0,6363071.616,48947.76,137330.42,0,0,0,0,2,0,0,2,2,1,2,3,10,1,3,13,140,8,25,251,27,21,35,13,7,7,3,0,511,41,24
2005-05-01,117752,34663.763,297431.238,30139.324,518700.258,44046.268,77317.691,249456.915,125133,527495.186,266453.358,223507.269,671663.151,301019,167790.759,1366537,1802616.458,455332.755,2245438.636,6528485.099,1486544.24,1183860.545,1664647.862,251006.112,336807.198,645498.137,297632,6718147.337,6910322.838,4329877.093,3958627.954,368600,135626,551615,83066,1284006,121302,305759,1181621,707232,2261780,851250,986517,2417004.307,668827,537088,3734805,6346606,1065053,5782944,13458443,3311809,2008386,3524564,688543,770542,1903898,707436,47646178.182,505951.01,4325466.147,3286726.968,0,0,0,0,569358,0,0,511801,2336,32242.42,28544.305,33420.906,36366.96,1782,39568.583,153482.816,1968200.911,174343.602,422724.576,1984821.335,225881.47,79287,159599.388,39124.048,30058.514,46807,25424.36,0.0,6381996.807,47726.628,135451.759,0,0,0,0,2,0,0,2,2,8,3,4,10,1,4,13,140,8,26,264,28,20,37,13,7,8,3,0,535,44,24
2005-06-01,119882,38933.598,310960.693,29714.073,517572.994,44513,78035.557,264593.994,127983,514085.373,248192.039,219167.011,629333.314,287800.803,167892.19,1302181,1792250.636,453189.794,2215718.763,6637644.062,1482629.772,1162447.356,1650959.654,234441.532,343116.953,645315.522,312538,6776657.851,6838595.674,4247401.865,3968437.293,369747,136308,554397,83071,1289323,121301,308004,1202149,709999,2269769,854269,1003940,2418615.307,672175,538090,3750636,6360982,1068927,5886432,13475961,3320489,2013156,3529034,691290,772889,1909162,708494,47859338.182,506790.01,4341518.147,3310962.968,0,0,0,0,552675.971,0,0,498183,2375,32413.25,27628.181,25909.923,38106.704,1731,42748.811,144890.07,1925571.439,175474.133,424934.474,2009083.637,210505.397,91317.992,156831.748,34927.73,26178.57,41892,26078.02,0.0,6304452.851,46876.804,138127.395,0,0,0,0,2,0,0,2,1,8,3,4,10,1,4,13,143,8,27,270,28,23,37,13,7,9,3,0,548,44,24
2005-07-01,123359,37976.619,317580.807,29958.29,507810.476,44573,79336.213,255654.337,131141,515757.015,262023.334,208861.696,615546.768,289200.086,156870.781,1358937.144,1752784.685,456730.451,2065998.2,6529305.87,1439306.095,1158009.221,1638500.9,225554.903,344061.085,675821.761,313914,6644820.476,6845900.544,4099567.377,3944285.34,370559,137709,556334,83340,1294401,122040,309288,1214232,713371,2276784,860998,1007378,2421775.307,680194,539419,3765040,6373503,1072722,5895822,13495868,3323267,2018303,3531504,692032,775449,1914985,714963,47974144.182,507337.01,4346912.147,3332886.968,0,0,0,0,578323.377,0,0,514040,1706,34205.18,30449,38423.843,30805.541,1115,43277.694,155763.812,1958925.305,166227.084,478683.482,2100463.38,226957.392,96662,165126.476,34649.457,27805.596,75768,28365.49,0.0,6584545.427,47689.416,155508.266,0,0,0,0,2,0,0,2,2,8,3,5,10,0,4,11,148,8,28,294,28,25,37,14,7,9,3,0,560,52,36
2005-08-01,115911,36379.845,322775.969,29800.845,503465.95,43866,82857.44,275022.756,130689,543998.297,262030.334,211935.403,640266.032,306642.371,157834.074,1347081,1761219.011,458602.565,2095877.804,6490905.871,1472239.181,1153502.519,1628774.9,222774.976,335152.456,702946.574,315338,6704784.133,6851044.331,4092191.332,3999870.377,372094,138688,556901,83647,1299718,122435,311718,1216842,716352,2287180,860998,1009976,2425420,696406,541174,3778890,6387872,1076919,5918933,13527436,3328069,2024651,3540027,692709,775796,1920358,710799,48113779.0,507951.0,4348574.0,3351704.0,0,0,0,0,590400.257,0,0,511378.027,1242,38137.651,30448.847,42793.919,42739.917,1907,41925.507,154226.375,2157812.5,178101.008,497608.617,2198389.249,224498.476,102769,161874.891,38115.663,27805.596,49069,25869,0.0,6903680.985,49894.184,163537.331,0,0,0,0,6,0,0,2,2,10,3,5,11,0,4,21,149,8,29,302,28,27,37,14,7,9,3,0,587,53,37
2005-09-01,122495,39859.91,338804.189,32703.05,505795.909,51104.507,86384.481,268983.983,142370,539418.22,264864.824,216787.638,649659.147,305679.065,166925.553,1357584,1847463.817,472459.016,2257851.67,6703044.155,1485023.541,1116916.639,1571223.621,235427.038,355581.643,721771.599,327604,6949354.55,6771327.983,4308502.066,4154601.616,374087,140209,559527,83789,1307060,123108,312956,1218937,719224,2296845,864657,1013258,2430011.461,683473,543997,3798459,6403400,1083832,5926179,13553952,3337538,2029795,3542862,694772,780444,1926569,714007,48231324.215,508270.013,4349013.226,3374340.007,0,0,0,0,575013.712,0,0,500477.837,813,39010.586,30987.527,41306.533,46851.465,1545,42667.029,147849.321,2190205.786,172609.737,522276.218,2226078.222,217865.407,103821,159280.895,37726.917,26117.907,42834.227,26003,0.0,6929254.632,52731.387,169355.307,0,0,0,0,6,0,0,2,2,11,3,6,13,0,4,21,151,8,31,313,28,29,38,14,7,9,3,0,604,57,38
2005-10-01,124693,41717.158,332436.139,32953.523,530853.436,50480.526,82355.113,272817.73,146622,545675.763,261260.659,224451.14,681393.653,272977,177305.985,1387916,1835328.227,475712.167,2154853.943,6722610.918,1473958.822,1090451.358,1555363.883,232762.15,337882.322,707542.618,342161,6917987.523,6669050.415,4356878.554,4150619.741,376226,141596,561160,84219,1307992,124101,314834,1228512,722510,2308492,867845,1015517,2434593.461,687881,546145,3815892,6414637,1090135,5944584,13585236,3343961,2034340,3546048,696754,781795,1931880,721144,48364511.215,508507.013,4355807.226,3399204.007,0,0,0,0,600689.402,0,0,519837.111,2139,50260.096,40944.134,42180.736,43278.155,2971,45164.456,132344.46,2008325.914,176792.176,482454.5,2218770.815,228789.264,153738,166461.157,37703.81,26727.441,45322.231,25882,0.0,6843317.809,55265.508,152192.541,0,0,0,0,6,0,0,2,2,13,4,6,12,1,4,20,119,8,30,325,29,30,40,14,7,9,3,0,588,60,36
2005-11-01,127387,42666.85,334370.882,36234.548,531576.808,48561.805,79685.792,274963.23,147165,550350.675,271687.513,231731.258,696739.928,316879,182097.116,1383866,1859449.916,387213.985,2237166.932,6593716.524,1505934.506,1089716.054,1608170.243,241751.048,334167.761,697909.364,336779,6976440.905,6538550.565,4475715.661,4157231.607,377068,142862,562762,84577,1308581,124214,315322,1241737,725627,2315685,871152,1019228,2433429.53,696460,548016,3832991,6426905,1095822,5961652,13596597,3349740,2039949,3552627,699099,784410,1937091,723317,48477738.25,508831.012,4360538.258,3419813.01,0,0,0,0,587202.932,0,0,510088.064,2275,48119.739,39369.518,42024.74,38414.122,10537,44475.298,128607.585,2032341.435,254196.733,476845.353,2248511.9,229898.17,156572,158051.34,37195.342,25192.626,44703,25055.775,0.0,6906713.028,61151.01,171813.634,0,0,0,0,6,0,0,2,2,13,4,6,12,3,4,21,120,12,31,336,29,30,42,14,8,9,3,0,607,62,38
2005-12-01,128797,41224.338,315160.284,31643.831,529814.679,50835.424,75875.861,298913.205,144244,554071.697,291007.413,227202.556,708381.9,303870,182069.669,1386213,1737826.018,388522,2335497.636,6559557.818,1509783.292,1130741.007,1779186.331,242365.882,329148.652,628778.34,326700,7077729.55,6504027.256,4599352.936,4056322.091,378217,143073,564101,84498,1313582,124752,316664,1254401,728841,2325674,875279,1024076,2441672.576,696204,550438,3855969,6441214,1100551,5978556,13622622,3355728,2047073,3559171,699500,791586,1942111,726423,48620918.303,510047.011,4368071.202,3442940.06,0,0,0,0,600917.021,0,0,560836.537,490,40949.639,37153.803,40406.746,35403.127,10409,43060.757,140780.625,2149730.037,257330.446,454458.568,2233971.579,225137.598,145244,158650.543,41610.544,23359.212,44171,23643,0.0,7045826.677,63115.768,158771.337,0,0,0,0,6,0,0,2,2,14,4,6,12,3,4,21,121,12,32,340,28,31,41,15,8,9,3,0,611,64,39
2006-01-01,122877,39805.15,298209.994,30879.223,511684.537,46759.862,73549.517,252805.829,133536,538360.583,252765.042,226872.965,687356.58,281165.522,171406.326,1391528.701,1737415.731,384902.629,2228902.316,6353724.246,1505364.358,1087291.645,1764019.864,242499.588,297956,564744.963,310762,7167631.952,5747975.305,4567635.517,4053903.397,380134,143886,565325,85102,1321431,125350,318393,1263011,733312,2335574,878800,1029256,2446919.474,699993,553655,3876305,6457563,1108153,6002348,13696929,3365336,2054561,3569521,702617,794566,1947146,725199,48832682.257,509412.012,4371705.199,3466586.006,0,0,0,0,604166.62,0,0,562617.704,1794,57060.375,39346.127,42582.47,49358.692,24973,48034.074,151617.691,1971572.477,272177.105,459348.093,2287577.401,244716.956,151350,174856.95,37426.168,24909.042,114244.99,24034.152,0.0,7103425.307,75359.756,164979.024,0,0,0,0,6,0,0,2,2,16,4,6,12,5,5,20,206,14,32,353,33,32,45,15,9,11,4,0,722,71,39
