Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24,9;
2004-02-29;23,5;
2004-03-31;23,4;
2004-04-30;22,7;
2004-05-31;15,5;
2004-06-30;15,8;
2004-07-31;14,8;
2004-08-31;16;
2004-09-30;19,8;
2004-10-31;20,1;
2004-11-30;22,1;
2004-12-31;24,5;
2005-01-31;26;
2005-02-28;26,3;
2005-03-31;24,6;
2005-04-30;20,2;
2005-05-31;18,3;
2005-06-30;17,8;
2005-07-31;14,1;
2005-08-31;17,1;
2005-09-30;16,2;
2005-10-31;21,4;
2005-11-30;23,6;
2005-12-31;24,6;
2006-01-31;26;
2006-02-28;24,9;
2006-03-31;23,6;
2006-04-30;19,5;
2006-05-31;14,4;
2006-06-30;17,1;
2006-07-31;17;
2006-08-31;16,2;
2006-09-30;17,9;
2006-10-31;22,9;
2006-11-30;22,9;
2006-12-31;26;
2007-01-31;25,9;
2007-02-28;25,2;
2007-03-31;24,9;
2007-04-30;21,3;
2007-05-31;15;
2007-06-30;15;
2007-07-31;12,3;
2007-08-31;16;
2007-09-30;20,8;
2007-10-31;22;
2007-11-30;21,6;
2007-12-31;25;
2008-01-31;25,3;
2008-02-29;24,9;
2008-03-31;23,5;
2008-04-30;19,2;
2008-05-31;15,5;
2008-06-30;13,5;
2008-07-31;17,3;
2008-08-31;18;
2008-09-30;16,4;
2008-10-31;20,9;
2008-11-30;23,4;
2008-12-31;24,7;
2009-01-31;24,1;
2009-02-28;25,4;
2009-03-31;24,6;
2009-04-30;21,7;
2009-05-31;17,7;
2009-06-30;12,9;
2009-07-31;12,8;
2009-08-31;17,4;
2009-09-30;17,8;
2009-10-31;21,1;
2009-11-30;24,8;
2009-12-31;25,5;
2010-01-31;25,6;
2010-02-28;26,5;
2010-03-31;23,4;
2010-04-30;19,6;
2010-05-31;15,9;
2010-06-30;15,5;
2010-07-31;14,5;
2010-08-31;15,7;
2010-09-30;18,8;
2010-10-31;19,6;
2010-11-30;21,8;
2010-12-31;24,1;
2011-01-31;25,7;
2011-02-28;24,9;
2011-03-31;23,5;
2011-04-30;20,3;
2011-05-31;16,3;
2011-06-30;13,8;
2011-07-31;14,7;
2011-08-31;16,2;
2011-09-30;18,4;
2011-10-31;21,1;
2011-11-30;22,4;
2011-12-31;24,4;
2012-01-31;25,8;
2012-02-29;26,7;
2012-03-31;23;
2012-04-30;20,1;
2012-05-31;16,9;
2012-06-30;15;
2012-07-31;13,8;
2012-08-31;19,6;
2012-09-30;20,1;
2012-10-31;21,7;
2012-11-30;24,3;
2012-12-31;25,9;
2013-01-31;25;
2013-02-28;24,8;
2013-03-31;21,5;
2013-04-30;19,1;
2013-05-31;16,7;
2013-06-30;15,8;
2013-07-31;14,5;
2013-08-31;14,2;
2013-09-30;17,8;
2013-10-31;21,1;
2013-11-30;24;
2013-12-31;25,4;
2014-01-31;26;
2014-02-28;26;
2014-03-31;22,7;
2014-04-30;20,6;
2014-05-31;17;
2014-06-30;16,1;
2014-07-31;15,5;
2014-08-31;17,1;
2014-09-30;20,2;
2014-10-31;23,1;
2014-11-30;23,5;
2014-12-31;25;
2015-01-31;null;
2015-02-28;24,8;
2015-03-31;null;
2015-04-30;21;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;24,7;
2016-01-31;27,1;
2016-02-29;null;
2016-03-31;22,6;
2016-04-30;22,5;
2016-05-31;16,2;
2016-06-30;12,4;
2016-07-31;14,8;
2016-08-31;17,1;
2016-09-30;17,4;
2016-10-31;20,8;
2016-11-30;22,7;
2016-12-31;null;
2017-01-31;null;
2017-02-28;25,7;
2017-03-31;24,1;
2017-04-30;20,1;
2017-05-31;19,5;
2017-06-30;null;
2017-07-31;14,6;
2017-08-31;18;
2017-09-30;22,1;
2017-10-31;20,6;
2017-11-30;21,7;
2017-12-31;26,4;
2018-01-31;25,3;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;

